gender;category;product;fabric_type;composition;usage_hint;co2_kg_per_kg
Women;Tops;Tişört;Yuvarlak Örme;%95 Pamuk / %5 Elastan;Tişört, basic jersey;16.6
Women;Tops;Tişört;Yuvarlak Örme;%60 Pamuk / %40 Polyester;Sweatshirt, polar;15.5
Women;Tops;Tişört;Yuvarlak Örme;%65 Pamuk / %35 Polyester;Basic örme kumaş;15.6
Women;Tops;Tişört;Yuvarlak Örme;%50 Pamuk / %50 Polyester;Tişört, nevresim;15.3
Women;Tops;Tişört;Yuvarlak Örme;%79 Viskon / %17 Polyester / %4 Elastan;Jogger, tayt;11.2
Women;Tops;Tişört;Yuvarlak Örme;%91 Polyester / %9 Elastan;Spor tişört;14.7
Women;Tops;Tişört;Yuvarlak Örme;%88 Naylon / %12 Elastan;Spor tayt, iç giyim;20.0
Women;Tops;Tişört;Yuvarlak Örme;%95 Modal / %5 Elastan;Spor üst, atlet;10.6
Women;Tops;Tişört;Yuvarlak Örme;%97 Pamuk / %3 Elastan;Hafif streçli tişört;16.5
Women;Tops;Tişört;Düz Örme;%100 Akrilik;Ekonomik kazak;21.1
Women;Tops;Tişört;Düz Örme;%80 Akrilik / %20 Polyester;Dayanıklı akrilik/polyester;19.7
Women;Tops;Tişört;Düz Örme;%50 Akrilik / %50 Yün;Sıcak tutan triko;50.7
Women;Tops;Tişört;Düz Örme;%80 Yün / %20 Naylon;Şekil koruyucu triko;68.2
Women;Tops;Tişört;Düz Örme;%70 Viskon / %30 Polyester;Yumuşak, akıcı triko;11.3
Women;Tops;Tişört;Düz Örme;%95 Viskon / %5 Elastan;İnce bluz;10.6
Women;Tops;Tişört;Düz Örme;%100 Pamuk;Yazlık triko;16.4
Women;Tops;Tişört;Düz Örme;%95 Pamuk / %5 Elastan;Streç tişört/kazak;16.6
Women;Tops;Tişört;Dokuma;%100 Pamuk;Denim, gömlek, gabardin;16.4
Women;Tops;Tişört;Dokuma;%61 Pamuk / %39 Polyester;Poplin gömleklik;15.5
Women;Tops;Tişört;Dokuma;%65 Polyester / %35 Pamuk;Gabardin;15.0
Women;Tops;Tişört;Dokuma;%97 Pamuk / %3 Elastan;Streç poplin/gabardin;16.5
Women;Tops;Tişört;Dokuma;%45 Yün / %55 Polyester;Yünlü ceket/gömlek;43.9
Women;Tops;Tişört;Dokuma;%48 Polyester / %52 Viskon;Oxford;12.1
Women;Tops;Tişört;Dokuma;%97 Polyester / %3 Elastan;Elbiselik saten;14.4
Women;Tops;Tişört;Dokuma;%78 Pamuk / %18 Naylon / %4 Elastan;Spor poplin;17.2
Women;Tops;Tişört;Dokuma;%50 Pamuk / %17 Polyester / %13 Viskon / %20 Keten;Lüks karışım;15.3
Women;Tops;Tişört;Dokusuz Yüzey;%100 Polipropilen;Spunbond, hijyen ürünleri;2.0
Women;Tops;Tişört;Dokusuz Yüzey;%80 Polipropilen / %20 Polyester;Döşemelik, nonwoven;4.4
Women;Tops;Tişört;Dokusuz Yüzey;%50 Polyester / %50 Viskon;Tıbbi bez, temizlik bezi;12.1
Women;Tops;Tişört;Dokusuz Yüzey;%60 Polyester / %40 Viskon;Tek kullanımlık battaniye;12.6
